Emerging market by exchanges,,
,,
,,Domicile
B131M1,Advance Information Marketing Bhd.,MALAYSIA
B46DWQ,Advance Lifestyles Ltd.,INDIA
B28QTW,Advance Materials Corporation,TAIWAN
B8BMF4,Advance Metering Technology Ltd.,INDIA
B02TLZ,Advance Multimedia Internet Technology Inc.,TAIWAN
B7YQDT,Advance Petrochemicals Ltd.,INDIA
B6SKVB,Advance Powerinfra Tech Limited,INDIA
657132,Advance Syn Capita Myr1(After Cons),MALAYSIA
608470,Advance Synergy Bhd.,MALAYSIA
B049BF,"Advanced Analog Technology, Inc.",TAIWAN
B04S93,Advanced Ceramic X Corporation,TAIWAN
B0SBK0,Advanced Connection Technology Inc.,TAIWAN
643959,Advanced Control & Systems Inc.,TAIWAN
642181,Advanced Digital Chips Inc.,SOUTH KOREA
641256,"Advanced Info Service Public Co., Ltd.",THAILAND
667313,Advanced Information Technology Public Co. Ltd.,THAILAND
656299,Advanced International Multitech Co. Ltd.,TAIWAN
668951,Advanced Microelectronic Products Inc.,TAIWAN
633042,Advanced Micronic Devices Limited,INDIA
B40442,"Advanced Nano Products Co., Ltd",SOUTH KOREA
B0719Z,"Advanced Optoelectronic Technology, Inc.",TAIWAN
600791,Advanced Packaging Technology (M) Bhd.,MALAYSIA
B61XHW,Advanced Pharmaceutical Packaging Co.,EGYPT
665205,Advanced Power Electronics Corp,TAIWAN
642558,Advanced Process Systems Corp.,SOUTH KOREA
643160,Advanced Research Twd10,TAIWAN
605607,"Advanced Semiconductor Engineering, Inc.",TAIWAN
600767,Advanced Tech (Za) Zar0.0001 'N',SOUTH AFRICA
600808,Advanced Tech (Za) Zar0.01,SOUTH AFRICA
B1LJ51,Advanced Wireless Semiconductor Co.,TAIWAN
B1M50Y,Advancedtek Intern Twd10,TAIWAN
687166,Advancetek Enterprise Co. Ltd.,TAIWAN
632138,Advani Hotels & Resorts (India) Ltd.,INDIA
BC6X8L,Advanta Limited,INDIA
620267,"Advantech Co., Ltd.",TAIWAN
B16Q8P,Advent Computer Services Limited,INDIA
B16TVC,Adventa Bhd.,MALAYSIA
B745LZ,Advertigo SA,POLAND
B03HLK,Advik Laboratories Limited,INDIA
608521,ADvTECH Limited,SOUTH AFRICA
653137,AE Multi Holdings Bhd.,MALAYSIA
BBM2K3,"AEC Securities Public Co., Ltd.",THAILAND
641719,Aeco Technology Co Twd10,TAIWAN
B7TJ2B,Aedes SA,POLAND
601042,Aegis Logistics Limited,INDIA
B7ZGMJ,"Aekyung Petrochemical Co., Ltd.",SOUTH KOREA
669728,Aeolus Tyre Co. Ltd. Class A,CHINA
650616,AEON Co. Malaysia Bhd.,MALAYSIA
B29H4P,AEON Credit Service (M) Bhd.,MALAYSIA
B5WGFY,"Aeon Motor Co., Ltd.",TAIWAN
B01KHM,AEON Thana Sinsap (Thailand) Public Co. Ltd.,THAILAND
B0G767,Aeonian Investments Co. Ltd.,INDIA
B3Z4C7,Aerfinance PLC,UNITED KINGDOM
B68DQL,Aero Win Technology Corp.,TAIWAN
B58X58,Aeroflot-Russian Airlines OJSC,RUSSIA
699002,"Aerospace Communications Holdings Co., Ltd. Class A",CHINA
635589,Aerosun Corporation Class A,CHINA
202900,Aerovias De Mexico C,MEXICO
206489,AES Elpa S.A.,BRAZIL
B83J21,AES Gener S.A.,CHILE
B010LG,Aes Sul Distrib Ga Com Npv,BRAZIL
244103,AES Tiete SA Pfd,BRAZIL
B23SPM,"AEWIN Technologies Co., Ltd.",TAIWAN
B29HDF,Afa Technologies Twd10,TAIWAN
